ORG_NPI_NUM,Claims,LAT,LNG,ZIP_CODE,Provider Organization Name (Legal Business Name),Provider First Line Business Practice Location Address,Provider Business Mailing Address City Name,Provider Business Mailing Address State Name,White,Non-White,Unknown,% non-white,Masked Racial Diversity,No_Exptirpation,Exptirpation,% treated with extirpation,Masked Extirpation,Zip Code,Latitude,Longitude,Cummulative Claim Count,% of Claims,Deciles,Abbott Sites,Final_Zip_Code,Final_Latitude,Final_Longitude,Min,Max,Range,Average,Mapped_State_Name
1649248626,469,33.926431,-84.541629,30060,"KENNESTONE HOSPITAL, INC.",677 CHURCH ST NE,MARIETTA,GA,389,73,7,15.56,15.56%,469,0,0,0%,30060,33.969822,-84.55162,6363,2%,Decile 1,0,30060,33.969822,-84.55162,328,918,328-918,403,Georgia
1144397134,447,38.853475,-104.775218,80909,UCH-MHS,1400 E BOULDER ST,COLORADO SPRINGS,CO,391,52,4,11.63,11.63%,443,4,0.8,<2.46%,80909,38.839764,-104.799408,6810,2%,Decile 1,0,80909,38.839764,-104.799408,328,918,328-918,403,Colorado
1184670549,442,42.056214,-87.692402,60201,NORTHSHORE UNIVERSITY HEALTHSYSTEM,2650 RIDGE AVE,EVANSTON,IL,384,51,7,11.53,11.53%,438,4,0.9,<2.48%,60201,42.065578,-87.684868,7252,2%,Decile 1,0,60201,42.065578,-87.684868,328,918,328-918,403,Illinois
1558302570,442,26.621074,-81.878139,33901,LEE MEMORIAL HEALTH SYSTEM,2776 CLEVELAND AVE,FT MYERS,FL,405,29,8,6.56,6.56%,439,3,0.6,<2.48%,33901,26.628409,-81.874081,7694,3%,Decile 1,0,33901,26.628409,-81.874081,328,918,328-918,403,Florida
1902897820,436,34.587023,-112.429033,86301,YAVAPAI COMMUNITY HOSPITAL ASSOCIATION,1003 WILLOW CREEK ROAD,PRESCOTT,AZ,426,6,4,1.37,<2.52%,436,0,0,0%,86301,34.559343,-112.481113,8130,3%,Decile 1,0,86301,34.559343,-112.481113,328,918,328-918,403,Arizona
1730132234,433,29.798249,-95.416933,77008,MEMORIAL HERMANN HEALTH SYSTEM,1635 NORTH LOOP W,HOUSTON,TX,284,146,3,33.71,33.71%,419,14,3.2,3.20%,77008,29.811541,-95.430426,8563,3%,Decile 1,1,77008,29.811541,-95.430426,328,918,328-918,403,Texas
1093705428,425,35.588164,-88.853395,38301,JACKSON MADISON COUNTY GENERAL HOSPITAL,620 SKYLINE DR,JACKSON,TN,346,76,3,17.88,17.88%,383,42,9.8,9.80%,38301,35.636543,-88.831856,8988,3%,Decile 1,0,38301,35.636543,-88.831856,328,918,328-918,403,Tennessee
1134227606,422,42.166731,-70.952363,2190,SOUTH SHORE HOSPITAL INC.,55 FOGG ROAD,SOUTH WEYMOUTH,MA,393,16,13,3.79,3.79%,422,0,0,0%,2190,42.175823,-70.954124,9410,3%,Decile 1,0,2190,42.175823,-70.954124,328,918,328-918,403,Massachusetts
1942288527,421,38.299272,-77.486658,22401,MARY WASHINGTON HOSPITAL INC.,1001 SAM PERRY BLVD,FREDERICKSBURG,VA,339,78,4,18.52,18.52%,417,4,0.9,<2.61%,22401,38.310886,-77.483246,9831,3%,Decile 1,0,22401,38.310886,-77.483246,328,918,328-918,403,Virginia
1023049236,420,42.363174,-71.068646,2114,THE GENERAL HOSPITAL CORPORATION,55 FRUIT ST,BOSTON,MA,366,46,8,10.95,10.95%,419,1,0.2,<2.61%,2114,42.363155,-71.068832,10251,3%,Decile 1,0,2114,42.363155,-71.068832,328,918,328-918,403,Massachusetts
1790717650,418,42.337105,-71.105696,2115,"BRIGHAM & WOMENS HOSPITAL, INC.",75 FRANCIS ST,BOSTON,MA,334,69,15,16.5,16.50%,415,3,0.7,<2.63%,2115,42.336204,-71.106741,10669,4%,Decile 1,0,2115,42.336204,-71.106741,328,918,328-918,403,Massachusetts
1194790055,417,27.200948,-80.257153,34994,MARTIN MEMORIAL MEDICAL CENTER INC,200 SE HOSPITAL AVE,STUART,FL,379,30,8,7.19,7.19%,412,5,1.1,<2.63%,34994,27.199295,-80.243263,11086,4%,Decile 1,0,34994,27.199295,-80.243263,328,918,328-918,403,Florida
1952390239,412,38.350719,-81.630359,25301,CHARLESTON AREA MEDICAL CENTER INC,501 MORRIS ST,CHARLESTON,WV,388,21,3,5.09,5.09%,408,4,0.9,<2.66%,25301,38.348059,-81.626454,11498,4%,Decile 1,0,25301,38.348059,-81.626454,328,918,328-918,403,West Virginia
1528064409,409,39.848539,-74.953498,8043,VIRTUA WEST JERSEY HEALTH SYSTEM INC,100 BOWMAN DR,VOORHEES,NJ,331,67,11,16.38,16.38%,409,0,0,0%,8043,39.842678,-74.927757,11907,4%,Decile 1,0,8043,39.842678,-74.927757,328,918,328-918,403,New Jersey
1831220714,408,38.865024,-77.197125,22042,INOVA HEALTH CARE SERVICES,3300 GALLOWS RD,FALLS CHURCH,VA,315,79,14,19.36,19.36%,394,14,3.4,3.40%,22042,38.8579,-77.2286,12315,4%,Decile 1,0,22042,38.8579,-77.2286,328,918,328-918,403,Virginia
1639172372,407,34.072924,-118.37271,90048,CEDARS-SINAI MEDICAL CENTER,8700 BEVERLY BLVD,LOS ANGELES,CA,275,122,10,29.97,29.97%,398,9,2.2,<2.7%,90048,34.075233,-118.380173,12722,4%,Decile 1,0,90048,34.075233,-118.380173,328,918,328-918,403,California
1336139500,406,41.304625,-72.935385,,YALE NEW HAVEN HOSPITAL,20 YORK ST,NEW HAVEN,CT,316,81,9,19.95,19.95%,392,14,3.4,3.40%,-,-,-,13128,4%,Decile 1,0,0,41.304625,-72.935385,328,918,328-918,403,Connecticut
1578527172,406,35.123633,-89.852645,38120,BAPTIST MEMORIAL HOSPITAL,6019 WALNUT GROVE RD,MEMPHIS,TN,277,125,4,30.78,30.78%,391,15,3.6,3.60%,38120,35.129168,-89.861285,13534,4%,Decile 1,0,38120,35.129168,-89.861285,328,918,328-918,403,Tennessee
1972523348,405,40.91336,-73.124883,11794,UNIVERSITY HOSPITAL AT STONY BROOK,NICOLLS RD,STONY BROOK,NY,368,31,6,7.65,7.65%,396,9,2.2,<2.71%,11794,40.909012,-73.115356,13939,5%,Decile 1,0,11794,40.909012,-73.115356,328,918,328-918,403,New York
1477517225,394,38.98775,-76.5528,21401,"LUMINIS HEALTH ANNE ARUNDEL MEDICAL CENTER, INC.",2001 MEDICAL PARKWAY,ANNAPOLIS,MD,278,113,3,28.68,28.68%,394,0,0,0%,21401,38.990147,-76.534142,14333,5%,Decile 1,0,21401,38.990147,-76.534142,328,918,328-918,403,Maryland
1154392231,392,33.678536,-111.941095,85054,MAYO CLINIC ARIZONA,5777 E MAYO BLVD,PHOENIX,AZ,362,21,9,5.35,5.35%,391,1,0.2,<2.8%,85054,33.65905,-111.956451,14725,5%,Decile 1,0,85054,33.65905,-111.956451,328,918,328-918,403,Arizona
1518951300,391,33.623208,-117.933903,92663,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,348,29,14,7.41,7.41%,377,14,3.5,3.50%,92663,33.624744,-117.930046,15116,5%,Decile 1,0,92663,33.624744,-117.930046,328,918,328-918,403,California
1447200233,386,36.05823,-80.321496,27103,"FORSYTH MEMORIAL HOSPITAL, INC.",3333 SILAS CREEK PKWY,WINSTON SALEM,NC,324,55,7,14.24,14.24%,386,0,0,0%,27012,36.028584,-80.397285,15502,5%,Decile 1,0,27012,36.028584,-80.397285,328,918,328-918,403,North Carolina
1497859649,383,41.8957,-87.613775,60611,NORTHWESTERN MEMORIAL HOSPITAL,251 E HURON ST,CHICAGO,IL,217,154,12,40.2,40.20%,376,7,1.8,<2.87%,60611,41.894627,-87.620987,15885,5%,Decile 1,0,60611,41.894627,-87.620987,328,918,328-918,403,Illinois
1174582050,381,29.706787,-95.401748,77030,UNIVERSITY OF TEXAS M. D. ANDERSON CANCER CENTER,1515 HOLCOMBE BLVD,HOUSTON,TX,300,72,9,18.89,18.89%,381,0,0,0%,77030,29.707177,-95.396982,16266,5%,Decile 1,0,77030,29.707177,-95.396982,328,918,328-918,403,Texas
1881632818,377,27.962012,-82.492176,33607,"ST. JOSEPH'S HOSPITAL, INC.",3001 W DR MLK JR BLVD,TAMPA,FL,291,79,7,20.95,20.95%,368,9,2.3,<2.91%,33607,27.982061,-82.492111,16643,6%,Decile 1,0,33607,27.982061,-82.492111,328,918,328-918,403,Florida
1114984671,375,41.657961,-70.298093,2601,CAPE COD HOSPITAL INC,27 PARK ST,HYANNIS,MA,355,12,8,3.2,3.20%,374,1,0.2,<2.93%,2601,41.653505,-70.273014,17018,6%,Decile 1,0,2601,41.653505,-70.273014,328,918,328-918,403,Massachusetts
1215913470,374,35.057863,-106.620735,87106,PRESBYTERIAN HEALTHCARE SERVICES,1100 CENTRAL SE,ALBUQUERQUE,NM,317,55,2,14.7,14.70%,374,0,0,0%,87106,35.081573,-106.635384,17392,6%,Decile 1,0,87106,35.081573,-106.635384,328,918,328-918,403,New Mexico
1699874248,372,,,,"SHANDS TEACHING HOSPITAL AND CLINICS, INC.",1600 SW ARCHER RD,GAINESVILLE,FL,295,75,2,20.16,20.16%,365,7,1.8,<2.95%,32608,29.639953,-82.342674,17764,6%,Decile 1,0,32608,29.639953,-82.342674,328,918,328-918,403,Florida
1851386692,372,41.662446,-87.789969,60463,PALOS COMMUNITY HOSPITAL,12251 S 80TH AVE,PALOS HEIGHTS,IL,335,28,9,7.52,7.52%,372,0,0,0%,60463,41.669098,-87.812141,18136,6%,Decile 1,0,60463,41.669098,-87.812141,328,918,328-918,403,Illinois
1780658443,370,42.194034,-83.639984,48197,ST JOSEPH MERCY HOSPITAL,5301 HURON RIVER DRIVE,YPSILANTI,MI,304,62,4,16.75,16.75%,356,14,3.7,3.70%,48197,42.265003,-83.655853,18506,6%,Decile 1,0,48197,42.265003,-83.655853,328,918,328-918,403,Michigan
1003878539,366,42.289187,-83.70878,48109,REGENTS OF THE UNIVERSITY OF MICHIGAN,1500 E MEDICAL CENTER DR,ANN ARBOR,MI,291,70,5,19.12,19.12%,361,5,1.3,<3%,48109,42.282032,-83.727287,18872,6%,Decile 1,0,48109,42.282032,-83.727287,328,918,328-918,403,Michigan
1922090554,360,42.96212,-85.659394,49503,SPECTRUM HEALTH HOSPITALS,100 MICHIGAN ST NE,GRAND RAPIDS,MI,299,53,8,14.72,14.72%,339,21,5.8,5.80%,49503,42.969486,-85.665001,19232,6%,Decile 1,0,49503,42.969486,-85.665001,328,918,328-918,403,Michigan
1598708513,359,37.518624,-77.512937,23225,CHIPPENHAM & JOHNSTON-WILLIS HOSPITALS INC,7102 JAHNKE RD,RICHMOND,VA,232,121,6,33.7,33.70%,355,4,1.1,<3.06%,23235,37.510689,-77.594635,19591,7%,Decile 1,0,23235,37.510689,-77.594635,328,918,328-918,403,Virginia
1609807122,359,34.995627,-81.9604,29303,SPARTANBURG MEDICAL CENTER,101 E WOOD ST,SPARTANBURG,SC,292,65,2,18.1,18.10%,348,11,3,3%,29303,34.96676,-81.939538,19950,7%,Decile 1,0,29303,34.96676,-81.939538,328,918,328-918,403,South Carolina
1811992084,359,40.125912,-75.125442,19001,ABINGTON MEMORIAL HOSPITAL,1200 OLD YORK RD,ABINGTON,PA,268,85,6,23.67,23.67%,354,5,1.3,<3.06%,19001,40.11916,-75.119858,20309,7%,Decile 1,0,19001,40.11916,-75.119858,328,918,328-918,403,Pennsylvania
1992703540,358,,,,"DUKE UNIVERSITY HEALTH SYSTEM, INC.",2301 ERWIN ROAD,DURHAM,NC,221,126,11,35.19,35.19%,343,15,4.1,4.10%,27710,36.007098,-78.937123,20667,7%,Decile 1,0,27710,36.007098,-78.937123,328,918,328-918,403,North Carolina
1548378235,355,38.933366,-77.030312,20010,WASHINGTON HOSPITAL CENTER CORPORATION,110 IRVING ST NW,WASHINGTON,DC,45,308,2,86.76,86.76%,328,27,7.6,7.60%,20010,38.928783,-77.013931,21022,7%,Decile 1,0,20010,38.928783,-77.013931,328,918,328-918,403,District of Columbia
1053384776,353,40.784201,-74.500025,7960,AHS HOSPITAL CORP.,100 MADISON AVE,MORRISTOWN,NJ,317,30,6,8.49,8.49%,353,0,0,0%,7960,40.789627,-74.465569,21375,7%,Decile 1,0,7960,40.789627,-74.465569,328,918,328-918,403,New Jersey
1255317590,352,,,,MEMORIAL MEDICAL CENTER,701 N 1ST ST,SPRINGFIELD,IL,315,33,4,9.37,9.37%,350,2,0.5,<3.12%,62781,39.809971,-89.656754,21727,7%,Decile 1,0,62781,39.809971,-89.656754,328,918,328-918,403,Illinois
1831151455,352,,,,"UMASS MEMORIAL MEDICAL CENTER, INC.",55 LAKE AVENUE,WORCESTER,MA,318,28,6,7.95,7.95%,350,2,0.5,<3.12%,1655,42.27652,-71.761978,22079,7%,Decile 1,0,1655,42.27652,-71.761978,328,918,328-918,403,Massachusetts
1780689463,350,38.3823,-75.639576,21801,"TIDALHEALTH PENINSULA REGIONAL, INC.",100 E CARROLL ST,SALISBURY,MD,249,97,4,27.71,27.71%,350,0,0,0%,21801,38.362468,-75.598013,22429,7%,Decile 1,0,21801,38.362468,-75.598013,328,918,328-918,403,Maryland
1144266024,346,39.784102,-86.163477,46202,INDIANA UNIVERSITY HEALTH INC,1701 N SENATE BLVD,INDIANAPOLIS,IN,255,84,7,24.27,24.27%,296,50,14.4,14.40%,46202,39.79034,-86.163353,22775,8%,Decile 1,0,46202,39.79034,-86.163353,328,918,328-918,403,Indiana
1427055821,346,34.319072,-83.814393,30501,"NORTHEAST GEORGIA MEDICAL CENTER, INC.",743 SPRING ST NE,GAINESVILLE,GA,317,24,5,6.93,6.93%,341,5,1.4,<3.17%,30501,34.304222,-83.817236,23121,8%,Decile 1,0,30501,34.304222,-83.817236,328,918,328-918,403,Georgia
1477591055,345,36.06914,-79.765159,27401,THE MOSES H. CONE MEMORIAL HOSPITAL OPERATING CORPORATION,1200 N ELM ST,GREENSBORO,NC,208,137,0,39.71,39.71%,345,0,0,0%,27401,36.091046,-79.786195,23466,8%,Decile 1,0,27401,36.091046,-79.786195,328,918,328-918,403,North Carolina
1588823553,344,33.685809,-112.366168,85375,BANNER DEL E WEBB MEDICAL CENTER,14502 W MEEKER BLVD,SUN CITY WEST,AZ,315,22,7,6.39,6.39%,338,6,1.7,<3.19%,85375,33.659924,-112.372887,23810,8%,Decile 1,0,85375,33.659924,-112.372887,328,918,328-918,403,Arizona
1144228446,341,28.1007,-81.908334,33805,"LAKELAND REGIONAL MEDICAL CENTER, INC.",1324 LAKELAND HILLS BLVD,LAKELAND,FL,294,45,2,13.19,13.19%,318,23,6.7,6.70%,33805,28.060658,-81.954933,24151,8%,Decile 1,0,33805,28.060658,-81.954933,328,918,328-918,403,Florida
1689653305,341,42.519204,-83.164362,48073,WILLIAM BEAUMONT HOSPITAL,3601 W 13 MILE RD,ROYAL OAK,MI,232,105,4,30.79,30.79%,332,9,2.6,<3.22%,48073,42.514709,-83.191719,24492,8%,Decile 1,0,48073,42.514709,-83.191719,328,918,328-918,403,Michigan
1871543215,341,37.418256,-122.170871,94305,STANFORD HEALTH CARE,300 PASTEUR DR,STANFORD,CA,260,73,8,21.4,21.40%,341,0,0,0%,94305,37.433075,-122.175049,24833,8%,Decile 1,1,94305,37.433075,-122.175049,328,918,328-918,403,California
1922043744,339,43.077533,-89.43066,53792,UNIVERSITY OF WISCONSIN HOSPITALS AND CLINICS AUTHORITY,600 HIGHLAND AVE,MADISON,WI,309,22,8,6.48,6.48%,339,0,0,0%,53792,43.076321,-89.431892,25172,8%,Decile 1,0,53792,43.076321,-89.431892,328,918,328-918,403,Wisconsin
1366459570,337,40.793409,-73.688549,11030,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,266,61,10,18.1,18.10%,333,4,1.1,<3.26%,11030,40.774197,-73.700623,25509,8%,Decile 1,0,11030,40.774197,-73.700623,328,918,328-918,403,New York
1700910189,337,33.323672,-111.878461,85224,DIGNITY COMMUNITY CARE,475 S DOBSON RD,CHANDLER,AZ,301,31,5,9.19,9.19%,332,5,1.4,<3.26%,85224,33.297157,-111.874634,25846,9%,Decile 1,0,85224,33.297157,-111.874634,328,918,328-918,403,Arizona
1386746592,336,39.828957,-75.015458,8084,KENNEDY UNIVERSITY HOSPITAL INC.,18 E LAUREL RD,STRATFORD,NJ,279,55,2,16.36,16.36%,331,5,1.4,<3.27%,8084,39.828167,-75.008263,26182,9%,Decile 1,0,8084,39.828167,-75.008263,328,918,328-918,403,New Jersey
1770586794,335,43.610535,-116.118981,83712,ST LUKES REGIONAL MEDICAL CENTER,190 E BANNOCK ST,BOISE,ID,317,14,4,4.17,4.17%,335,0,0,0%,83712,43.612751,-116.192375,26517,9%,Decile 1,0,83712,43.612751,-116.192375,328,918,328-918,403,Idaho
1982658407,335,26.534017,-81.826175,33912,LEE MEMORIAL HEALTH SYSTEM,13681 DOCTORS WAY,FORT MYERS,FL,304,25,6,7.46,7.46%,328,7,2,<3.28%,33912,26.544205,-81.849594,26852,9%,Decile 1,0,33912,26.544205,-81.849594,328,918,328-918,403,Florida
1417901091,334,39.745628,-121.843834,95926,ENLOE MEDICAL CENTER,1531 ESPLANADE,CHICO,CA,311,18,5,5.38,5.38%,333,1,0.2,<3.29%,95926,39.742587,-121.849727,27186,9%,Decile 1,0,95926,39.742587,-121.849727,328,918,328-918,403,California
1184709057,333,28.511789,-81.360438,32806,"ORLANDO HEALTH, INC.",1414 KUHL AVE,ORLANDO,FL,255,74,4,22.22,22.22%,329,4,1.2,<3.3%,32750,28.698994,-81.35363,27519,9%,Decile 1,0,32750,28.698994,-81.35363,328,918,328-918,403,Florida
1669530069,333,40.324674,-75.942857,19611,READING HOSPITAL,420 S 5TH AVE,WEST READING,PA,305,23,5,6.9,6.90%,333,0,0,0%,19611,40.329815,-75.949333,27852,9%,Decile 1,0,19611,40.329815,-75.949333,328,918,328-918,403,Pennsylvania
1124074273,332,29.501861,-98.569302,78229,"METHODIST HEALTHCARE SYSTEM OF SAN ANTONIO, LTD., L.L.P.",7700 FLOYD CURL DRIVE,SAN ANTONIO,TX,270,58,4,17.46,17.46%,330,2,0.6,<3.31%,78229,29.508055,-98.572273,28184,9%,Decile 1,0,78229,29.508055,-98.572273,328,918,328-918,403,Texas
1184712085,330,39.341939,-76.495443,21237,"FRANKLIN SQUARE HOSPITAL CENTER, INC",9000 FRANKLIN SQUARE DR,BALTIMORE,MD,263,66,1,20,20%,329,1,0.3,<3.33%,21237,39.351097,-76.477859,28514,9%,Decile 1,0,21237,39.351097,-76.477859,328,918,328-918,403,Maryland
1740208081,330,35.197454,-79.462959,28374,"FIRSTHEALTH OF THE CAROLINAS, INC.",155 MEMORIAL DR,PINEHURST,NC,225,102,3,30.9,30.90%,330,0,0,0%,28374,35.205067,-79.45668,28844,10%,Decile 1,0,28374,35.205067,-79.45668,328,918,328-918,403,North Carolina
1053361642,329,38.025505,-87.575809,47710,"DEACONESS HOSPITAL, INC.",600 MARY ST,EVANSVILLE,IN,291,29,9,8.81,8.81%,328,1,0.3,<3.34%,47630,37.975735,-87.442238,29173,10%,Decile 1,0,47630,37.975735,-87.442238,328,918,328-918,403,Indiana
1932112125,329,38.878231,-104.827015,80907,CATHOLIC HEALTH INITIATIVES COLORADO,2222 N NEVADA AVE,COLORADO SPRINGS,CO,298,28,3,8.51,8.51%,328,1,0.3,<3.34%,80907,38.865537,-104.821745,29502,10%,Decile 1,0,80907,38.865537,-104.821745,328,918,328-918,403,Colorado
1679525919,328,,,,THE CLEVELAND CLINIC FOUNDATION,9500 EUCLID AVE,CLEVELAND,OH,220,96,12,29.26,29.26%,318,10,3,<3.35%,44195,41.502823,-81.621719,29830,10%,Decile 1,0,44195,41.502823,-81.621719,328,918,328-918,403,Ohio
1003864810,327,41.871784,-88.157015,60190,CENTRAL DUPAGE HOSPITAL ASSOCIATION,25 NORTH WINFIELD RD.,WINFIELD,IL,298,23,6,7.03,7.03%,327,0,0,0%,60190,41.873302,-88.155708,30157,10%,Decile 2,0,60190,41.873302,-88.155708,255,327,255-327,284,Illinois
1104875103,325,40.014623,-76.246351,17602,LANCASTER GENERAL HOSPITAL,555 N DUKE ST,LANCASTER,PA,303,14,8,4.3,4.30%,325,0,0,0%,17602,40.047028,-76.304024,30482,10%,Decile 2,0,17602,40.047028,-76.304024,255,327,255-327,284,Pennsylvania
1568553519,325,41.509217,-87.960579,60451,SILVER CROSS HOSPITAL & MEDICAL CENTERS,1900 SILVER CROSS BLVD,NEW LENOX,IL,294,29,2,8.92,8.92%,319,6,1.8,<3.38%,60451,41.544472,-87.982858,30807,10%,Decile 2,0,60451,41.544472,-87.982858,255,327,255-327,284,Illinois
1427069632,324,41.76467,-88.145428,60540,EDWARD HOSPITAL,801 S WASHINGTON ST,NAPERVILLE,IL,280,39,5,12.03,12.03%,324,0,0,0%,60540,41.760967,-88.150105,31131,10%,Decile 2,0,60540,41.760967,-88.150105,255,327,255-327,284,Illinois
1194782409,321,39.039022,-95.726188,66604,STORMONT-VAIL HEALTHCARE INC,1500 SW 10TH AVE,TOPEKA,KS,283,31,7,9.65,9.65%,319,2,0.6,<3.42%,66604,39.052603,-95.69647,31452,10%,Decile 2,0,66604,39.052603,-95.69647,255,327,255-327,284,Kansas
1447250253,321,32.792496,-96.772763,75246,BAYLOR UNIVERSITY MEDICAL CENTER,3500 GASTON AVE,DALLAS,TX,183,132,6,41.12,41.12%,321,0,0,0%,75246,32.789936,-96.780594,31773,11%,Decile 2,0,75246,32.789936,-96.780594,255,327,255-327,284,Texas
1538165527,321,39.443557,-77.332934,21701,FREDERICK HEALTH HOSPITAL INC,400 W 7TH ST,FREDERICK,MD,274,43,4,13.39,13.39%,321,0,0,0%,21701,39.422699,-77.414613,32094,11%,Decile 2,0,21701,39.422699,-77.414613,255,327,255-327,284,Maryland
1356390264,320,38.741074,-121.247693,95661,SUTTER VALLEY HOSPITALS,1 MEDICAL PLAZA DR,ROSEVILLE,CA,289,27,4,8.43,8.43%,318,2,0.6,<3.43%,95661,38.766251,-121.249223,32414,11%,Decile 2,0,95661,38.766251,-121.249223,255,327,255-327,284,California
1073688354,318,39.721305,-84.18797,45409,MIAMI VALLEY HOSPITAL,1 WYOMING ST,DAYTON,OH,246,69,3,21.69,21.69%,318,0,0,0%,45409,39.745144,-84.186256,32732,11%,Decile 2,0,45409,39.745144,-84.186256,255,327,255-327,284,Ohio
1710909585,318,32.311113,-90.170982,39202,"MISSISSIPPI BAPTIST MEDICAL CENTER, INC.",1225 N STATE ST,JACKSON,MS,229,88,1,27.67,27.67%,318,0,0,0%,39202,32.315054,-90.179498,33050,11%,Decile 2,0,39202,32.315054,-90.179498,255,327,255-327,284,Mississippi
1740233899,316,41.701921,-73.911519,12601,VASSAR BROTHERS HOSPITAL,45 READE PL,POUGHKEEPSIE,NY,272,38,6,12.02,12.02%,316,0,0,0%,12601,41.694544,-73.934191,33366,11%,Decile 2,0,12601,41.694544,-73.934191,255,327,255-327,284,New York
1952332801,316,40.769258,-73.958751,10021,THE NEW YORK AND PRESBYTERIAN HOSPITAL,525 E 68TH ST,NEW YORK,NY,227,81,8,25.63,25.63%,314,2,0.6,<3.48%,10065,40.764332,-73.954254,33682,11%,Decile 2,0,10065,40.764332,-73.954254,255,327,255-327,284,New York
1013981554,315,33.768584,-116.429988,92270,EISENHOWER MEDICAL CENTER,39000 BOB HOPE DRIVE,RANCHO MIRAGE,CA,290,20,5,6.34,6.34%,315,0,0,0%,92270,33.763496,-116.405418,33997,11%,Decile 2,0,92270,33.763496,-116.405418,255,327,255-327,284,California
1306825997,314,42.604032,-83.122111,48085,WILLIAM BEAUMONT HOSPITAL,44201 DEQUINDRE RD,TROY,MI,286,19,9,6.05,6.05%,309,5,1.5,<3.5%,48085,42.618229,-83.092659,34311,11%,Decile 2,0,48085,42.618229,-83.092659,255,327,255-327,284,Michigan
